text,label
hi,extraversion
hey,extraversion
buddy,extraversion
how is work,extraversion
happy,extraversion
are you doing good,extraversion
I am social,extraversion
social animal,extraversion
love to roam around,extraversion
lets go,extraversion
I will do it,extraversion
we ,extraversion
together,extraversion
we will love it,extraversion
I will talk,extraversion
hooo,extraversion
hurey,extraversion
I am free man,extraversion
new ideas,extraversion
am extrovert,extraversion
I am open minded,openness
I talk freely,openness
are you?,openness
are you ok,openness
will you do it,openness
will you do that job,openness
will you do that work,openness
I want you to do it,openness
pay my rent too,openness
I wont do it,openness
I don’t,openness
your phone is bad,openness
you are not ,openness
you don’t perform good,openness
let me ask you,openness
be frank,openness
be open,openness
my number is,openness
I need time to take decision,conscientiousness
I need to think,conscientiousness
let me plan,conscientiousness
planing,conscientiousness
think before you do,conscientiousness
professional,conscientiousness
mr,conscientiousness
mrs,conscientiousness
my career,conscientiousness
focus,conscientiousness
focus on work,conscientiousness
careful,conscientiousness
straight way,conscientiousness
no shortcuts,conscientiousness
moody,neuroticism
feel anxiety,neuroticism
worry,neuroticism
fear,neuroticism
anger,neuroticism
frustration,neuroticism
envy,neuroticism
jealousy,neuroticism
guilt,neuroticism
depressd mood,neuroticism
loneliness,neuroticism
feel sad,neuroticism
feel sorry,neuroticism
hate,neuroticism
hate you,neuroticism
don’t want to see you,neuroticism
go away,neuroticism
I will block you,neuroticism
no feelings,neuroticism
hate musics,neuroticism
 agree,agreeableness
I am obedient,agreeableness
I will cooperate,agreeableness
you are right,agreeableness
I will be with you,agreeableness
care,agreeableness
trust you,agreeableness
compassionate,agreeableness
it happens,agreeableness
don’t worry,agreeableness
no sorrys,agreeableness
I will do it,agreeableness
 I agree,agreeableness
